03/01 01:33:02 AM | # START #
03/01 01:33:02 AM | Args = Namespace(batch_size=64, data='./data/processed/processed_cleaned_df.csv', debug=False, dropout=0.3, epochs=100, f='/Users/martinferianc/Library/Jupyter/runtime/kernel-6d3ed8b8-10e2-490a-8f13-9cec97ac2ff8.json', gpu=-1, hidden_size=300, input_size=[33], layers=8, learning_rate=0.001, log_freq=30, model_path='./model/drugs-EXP-20200301-013222/drugs-EXP-20200301-013222.model', num_of_layers=1, number_of_layers=10, output_size=[1], samples=20, save='./model/drugs-EXP-20200301-013222', seed=1, test_portion=0.2, train_window=12, weight_decay=0.0001)
03/01 01:33:02 AM | ## Creating model and criterion ##
03/01 01:33:02 AM | ## Getting and possibly pre-processing data ##
03/01 01:33:02 AM | ## Beginning training ##
03/01 01:33:02 AM | ### Start to train weights for 100 epochs #### 
03/01 01:33:02 AM | #### Training weights for epoch 0 #### 
03/01 01:33:04 AM | #### Train: [  1/100] Step 030/3950 MSE 51762535.0968+-0.00000
03/01 01:33:05 AM | #### Train: [  1/100] Step 060/3950 MSE 51798740.4590+-0.00000
03/01 01:33:07 AM | #### Train: [  1/100] Step 090/3950 MSE 51926143.6923+-0.00000
03/01 01:33:09 AM | #### Train: [  1/100] Step 120/3950 MSE 52015381.6198+-0.00000
03/01 01:33:11 AM | #### Train: [  1/100] Step 150/3950 MSE 51913128.9007+-0.00000
03/01 01:33:12 AM | #### Train: [  1/100] Step 180/3950 MSE 51887281.4586+-0.00000
03/01 01:33:14 AM | #### Train: [  1/100] Step 210/3950 MSE 51775498.4265+-0.00000
03/01 01:33:15 AM | #### Train: [  1/100] Step 240/3950 MSE 51752405.9917+-0.00000
03/01 01:33:17 AM | #### Train: [  1/100] Step 270/3950 MSE 51754672.9151+-0.00000
03/01 01:33:18 AM | #### Train: [  1/100] Step 300/3950 MSE 51671491.8671+-0.00000
03/01 01:33:20 AM | #### Train: [  1/100] Step 330/3950 MSE 51626819.7704+-0.00000
03/01 01:33:22 AM | #### Train: [  1/100] Step 360/3950 MSE 51527369.3740+-0.00000
03/01 01:33:23 AM | #### Train: [  1/100] Step 390/3950 MSE 51487748.2762+-0.00000
03/01 01:33:25 AM | #### Train: [  1/100] Step 420/3950 MSE 51390389.0831+-0.00000
03/01 01:33:27 AM | #### Train: [  1/100] Step 450/3950 MSE 51301404.6652+-0.00000
03/01 01:33:29 AM | #### Train: [  1/100] Step 480/3950 MSE 51260585.7963+-0.00000
03/01 01:33:30 AM | #### Train: [  1/100] Step 510/3950 MSE 51242714.6928+-0.00000
03/01 01:33:32 AM | #### Train: [  1/100] Step 540/3950 MSE 51245072.4288+-0.00000
03/01 01:33:34 AM | #### Train: [  1/100] Step 570/3950 MSE 51161425.8844+-0.00000
03/01 01:33:35 AM | #### Train: [  1/100] Step 600/3950 MSE 51125811.6606+-0.00000
03/01 01:33:37 AM | #### Train: [  1/100] Step 630/3950 MSE 51077939.8542+-0.00000
03/01 01:33:39 AM | #### Train: [  1/100] Step 660/3950 MSE 51005950.3359+-0.00000
