03/01 01:38:54 AM | # START #
03/01 01:38:54 AM | Args = Namespace(batch_size=64, data='./data/processed/processed_cleaned_df.csv', debug=False, dropout=0.3, epochs=100, f='/Users/martinferianc/Library/Jupyter/runtime/kernel-6d3ed8b8-10e2-490a-8f13-9cec97ac2ff8.json', gpu=-1, hidden_size=300, input_size=[33], layers=8, learning_rate=0.001, log_freq=30, model_path='./model/drugs-EXP-20200301-013812/drugs-EXP-20200301-013812.model', num_of_layers=1, number_of_layers=10, output_size=[1], samples=20, save='./model/drugs-EXP-20200301-013812', seed=1, test_portion=0.2, train_window=12, weight_decay=0.0001)
03/01 01:38:54 AM | ## Creating model and criterion ##
03/01 01:38:54 AM | ## Getting and possibly pre-processing data ##
03/01 01:38:54 AM | ## Beginning training ##
03/01 01:38:54 AM | ### Start to train weights for 100 epochs #### 
03/01 01:38:54 AM | #### Training weights for epoch 0 #### 
03/01 01:38:55 AM | #### Train: [  1/100] Step 030/3950 MSE 0.0508+-0.00000
03/01 01:38:56 AM | #### Train: [  1/100] Step 060/3950 MSE 0.0263+-0.00000
03/01 01:38:57 AM | #### Train: [  1/100] Step 090/3950 MSE 0.0177+-0.00000
03/01 01:38:58 AM | #### Train: [  1/100] Step 120/3950 MSE 0.0134+-0.00000
03/01 01:38:59 AM | #### Train: [  1/100] Step 150/3950 MSE 0.0108+-0.00000
03/01 01:39:01 AM | #### Train: [  1/100] Step 180/3950 MSE 0.0091+-0.00000
03/01 01:39:02 AM | #### Train: [  1/100] Step 210/3950 MSE 0.0078+-0.00000
03/01 01:39:03 AM | #### Train: [  1/100] Step 240/3950 MSE 0.0069+-0.00000
03/01 01:39:04 AM | #### Train: [  1/100] Step 270/3950 MSE 0.0061+-0.00000
03/01 01:39:06 AM | #### Train: [  1/100] Step 300/3950 MSE 0.0056+-0.00000
03/01 01:39:07 AM | #### Train: [  1/100] Step 330/3950 MSE 0.0051+-0.00000
03/01 01:39:08 AM | #### Train: [  1/100] Step 360/3950 MSE 0.0047+-0.00000
03/01 01:39:09 AM | #### Train: [  1/100] Step 390/3950 MSE 0.0043+-0.00000
03/01 01:39:10 AM | #### Train: [  1/100] Step 420/3950 MSE 0.0040+-0.00000
03/01 01:39:12 AM | #### Train: [  1/100] Step 450/3950 MSE 0.0038+-0.00000
03/01 01:39:13 AM | #### Train: [  1/100] Step 480/3950 MSE 0.0036+-0.00000
03/01 01:39:14 AM | #### Train: [  1/100] Step 510/3950 MSE 0.0034+-0.00000
03/01 01:39:15 AM | #### Train: [  1/100] Step 540/3950 MSE 0.0032+-0.00000
03/01 01:39:17 AM | #### Train: [  1/100] Step 570/3950 MSE 0.0031+-0.00000
03/01 01:39:18 AM | #### Train: [  1/100] Step 600/3950 MSE 0.0029+-0.00000
03/01 01:39:19 AM | #### Train: [  1/100] Step 630/3950 MSE 0.0028+-0.00000
03/01 01:39:20 AM | #### Train: [  1/100] Step 660/3950 MSE 0.0027+-0.00000
03/01 01:39:22 AM | #### Train: [  1/100] Step 690/3950 MSE 0.0026+-0.00000
03/01 01:39:23 AM | #### Train: [  1/100] Step 720/3950 MSE 0.0025+-0.00000
03/01 01:39:24 AM | #### Train: [  1/100] Step 750/3950 MSE 0.0024+-0.00000
03/01 01:39:25 AM | #### Train: [  1/100] Step 780/3950 MSE 0.0023+-0.00000
03/01 01:39:27 AM | #### Train: [  1/100] Step 810/3950 MSE 0.0022+-0.00000
03/01 01:39:28 AM | #### Train: [  1/100] Step 840/3950 MSE 0.0021+-0.00000
03/01 01:39:29 AM | #### Train: [  1/100] Step 870/3950 MSE 0.0021+-0.00000
03/01 01:39:30 AM | #### Train: [  1/100] Step 900/3950 MSE 0.0020+-0.00000
03/01 01:39:32 AM | #### Train: [  1/100] Step 930/3950 MSE 0.0020+-0.00000
03/01 01:39:33 AM | #### Train: [  1/100] Step 960/3950 MSE 0.0019+-0.00000
03/01 01:39:34 AM | #### Train: [  1/100] Step 990/3950 MSE 0.0019+-0.00000
